id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.title,attachments.0.url,attachments.0.width,attachments.1.content_scan_version,attachments.1.content_type,attachments.1.filename,attachments.1.height,attachments.1.id,attachments.1.placeholder,attachments.1.placeholder_version,attachments.1.proxy_url,attachments.1.size,attachments.1.url,attachments.1.width,author.avatar,author.avatar_decoration_data,author.avatar_decoration_data.asset,author.avatar_decoration_data.expires_at,author.avatar_decoration_data.sku_id,author.bot,author.clan,author.clan.badge,author.clan.identity_enabled,author.clan.identity_guild_id,author.clan.tag,author.discriminator,author.global_name,author.id,author.primary_guild,author.primary_guild.badge,author.primary_guild.identity_enabled,author.primary_guild.identity_guild_id,author.primary_guild.tag,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.author.icon_url,embeds.0.author.name,embeds.0.author.proxy_icon_url,embeds.0.author.url,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.footer.icon_url,embeds.0.footer.proxy_icon_url,embeds.0.footer.text,embeds.0.image.flags,embeds.0.image.height,embeds.0.image.placeholder,embeds.0.image.placeholder_version,embeds.0.image.proxy_url,embeds.0.image.url,embeds.0.image.width,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,interaction.id,interaction.name,interaction.type,interaction.user.avatar,interaction.user.avatar_decoration_data,interaction.user.clan,interaction.user.clan.badge,interaction.user.clan.identity_enabled,interaction.user.clan.identity_guild_id,interaction.user.clan.tag,interaction.user.discriminator,interaction.user.global_name,interaction.user.id,interaction.user.primary_guild,interaction.user.primary_guild.badge,interaction.user.primary_guild.identity_enabled,interaction.user.primary_guild.identity_guild_id,interaction.user.primary_guild.tag,interaction.user.public_flags,interaction.user.username,mention_channels,mention_everyone,mentions,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.bot,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.discriminator,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,mentions.1.avatar,mentions.1.avatar_decoration_data,mentions.1.avatar_decoration_data.asset,mentions.1.avatar_decoration_data.expires_at,mentions.1.avatar_decoration_data.sku_id,mentions.1.clan,mentions.1.clan.badge,mentions.1.clan.identity_enabled,mentions.1.clan.identity_guild_id,mentions.1.clan.tag,mentions.1.discriminator,mentions.1.global_name,mentions.1.id,mentions.1.primary_guild,mentions.1.primary_guild.badge,mentions.1.primary_guild.identity_enabled,mentions.1.primary_guild.identity_guild_id,mentions.1.primary_guild.tag,mentions.1.public_flags,mentions.1.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,sticker_items.0.format_type,sticker_items.0.id,sticker_items.0.name,stickers,thread,timestamp,tts,type,userName,webhook_id
1332227915202695208,,,,,1,image/png,image.png,376,1332227914988650599,BwgKDIKaRkWPeGZ4hmVZj5n2mQ==,1,https://media.discordapp.net/attachments/1013855610871226480/1332227914988650599/image.png?ex=67947d6e&is=67932bee&hm=a4c206ad72bcd5639c191f1178b4f644fdf14584d4c7892146110d32699e962a&,131146,,https://cdn.discordapp.com/attachments/1013855610871226480/1332227914988650599/image.png?ex=67947d6e&is=67932bee&hm=a4c206ad72bcd5639c191f1178b4f644fdf14584d4c7892146110d32699e962a&,660,,,,,,,,,,,,bc0f647e3156dd53b3c10573011cd066,,a_a44e9335ea869639fdf812f3642a56a6,,1282816431871754281,,,,,,,0,wpy,229156775499268097,,,,,,0,wpy,,1013855610871226480,,she dont even got 10k,2025-01-24T05:58:06.582Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:58:06.582000+00:00,false,0,wpy,
1332227913684090910,,,,,,,,,,,,,,,,,,,,,,,,,,,,077a742ddf95df8ea1f9fad73d062f36,,,,,,,,,,,0,n8mensch,589037168903716865,,,,,,0,n8mensch,,1013855610871226480,,why they ask for real name wtf,2025-01-24T05:58:06.220Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:58:06.220000+00:00,false,0,n8mensch,
1332227911939391632,,,,,,,,,,,,,,,,,,,,,,,,,,,,a_1430915a3b776b35e867918f408f3294,,a_643e26a948548adb435b1078f273c426,,1301993378484850771,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,Cyrus,469684674873131009,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,128,cy.rus,,1013855610871226480,,I talk to him all the time lol,2025-01-24T05:58:05.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,f9e3cdc4f1c24c88e063281326c9d2e0,,,,,,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomic,839011261324197888,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomicfartt,,,,,,,,,,,,,,,,,,,,,,1013855610871226480,991099143705600000,1332227884806574111,0,,false,0,,,,,,,,,,,2025-01-24T05:58:05.804000+00:00,false,19,cy.rus,
1332227908487352392,,,,,,,,,,,,,,,,,,,,,,,,,,,,44b639412836c15ee523c65d28929d57,,,,,,,,,,,0,ET,785588252458483753,,,,,,256,e21t,,1013855610871226480,,oh hi,2025-01-24T05:58:04.981Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,a_1430915a3b776b35e867918f408f3294,,a_643e26a948548adb435b1078f273c426,,1301993378484850771,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,Cyrus,469684674873131009,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,128,cy.rus,,,,,,,,,,,,,,,,,,,,,,1013855610871226480,991099143705600000,1332227777554026567,0,,false,0,,,,,,,,,,,2025-01-24T05:58:04.981000+00:00,false,19,e21t,
1332227894566584320,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e8378e46eb8b11d35415a65817f8d78,,,,,,,,,,,0,Kelshin,631729676175540235,,,,,,0,kelshinsollll,,1013855610871226480,,h?,2025-01-24T05:58:01.662Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:58:01.662000+00:00,false,0,kelshinsollll,
1332227889185427499,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe3156ef558994891468f4f5d160a2b8,,,,,true,,,,,,7141,,1310338209229832254,,,,,,0,Wuup,,1013855610871226480,,"- **1** More image(s) / video(s):
- :film_frames:  —  [Video #1](https://video.twimg.com/ext_tw_video/1882668830419509248/pu/vid/avc1/320x320/--RXcZqXhC85X4z6.mp4?tag=12)",2025-01-24T05:58:00.379Z,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,video,https://video.twimg.com/ext_tw_video/1882668830419509248/pu/vid/avc1/320x320/--RXcZqXhC85X4z6.mp4?tag=12,0,320,BwgOBwAIlpiId4hwjGeHmHiICQAAAAAA,1,https://images-ext-1.discordapp.net/external/yULO4qPQHWHTtTBYIe4m8F_ZrFD77Z0aX7sZNtzT0-I/%3Ftag%3D12/https/video.twimg.com/ext_tw_video/1882668830419509248/pu/vid/avc1/320x320/--RXcZqXhC85X4z6.mp4,https://video.twimg.com/ext_tw_video/1882668830419509248/pu/vid/avc1/320x320/--RXcZqXhC85X4z6.mp4?tag=12,320,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:58:00.379000+00:00,false,0,Wuup,
1332227888409346100,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe3156ef558994891468f4f5d160a2b8,,,,,true,,,,,,7141,,1310338209229832254,,,,,,0,Wuup,,1013855610871226480,,,2025-01-24T05:58:00.194Z,2025-01-24T05:58:00.390000+00:00,,https://pbs.twimg.com/profile_images/1853612433492901888/i6TEYj9I.png,Clout (@cloutdotme),https://images-ext-1.discordapp.net/external/FKuKh19UFmR5VbgFSj0N0wwcox_IrdQ7IMAYQgKKP0s/https/pbs.twimg.com/profile_images/1853612433492901888/i6TEYj9I.png,https://x.com/cloutdotme,8130774,1,"- ~~                    ~~
> **mary** (**[@howdymerry](https://x.com/howdymerry)**)
> trying this app out [@cloutdotme](https://x.com/cloutdotme) **[View More](https://x.com/howdymerry/status/1882668842218111347)**
> - :frame_photo: — **[Thumbnail #1](https://pbs.twimg.com/ext_tw_video_thumb/1882668830419509248/pu/img/w1BAth8uU_8MWX95.jpg)**
- ~~                    ~~",,,,,,,,,,,,,,,🔃  Built By @WuupX on 𝕏   —   Tweet Tracker,0,720,,,https://images-ext-1.discordapp.net/external/C6Np1Wuqy__Q6_FzU39CFkTWG8HrFGImzcVC6cKk5cw/https/pbs.twimg.com/ext_tw_video_thumb/1882668830419509248/pu/img/w1BAth8uU_8MWX95.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1882668830419509248/pu/img/w1BAth8uU_8MWX95.jpg,720,,,,,,,,,,,,@cloutdotme Retweeted @howdymerry:,rich,https://x.com/cloutdotme/status/1882669155570352622,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:58:00.194000+00:00,false,0,Wuup,
1332227886190694400,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e8378e46eb8b11d35415a65817f8d78,,,,,,,,,,,0,Kelshin,631729676175540235,,,,,,0,kelshinsollll,,1013855610871226480,,ars,2025-01-24T05:57:59.665Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,f034a85df25c66b3059cd94ee20dea48,,,,,,,,,,,0,Hector,1036480230275174400,,,,,,0,hectorh2625,,,,,,,,,,,,,,,,,,,,,,1013855610871226480,991099143705600000,1332227822701379614,0,,false,0,,,,,,,,,,,2025-01-24T05:57:59.665000+00:00,false,19,kelshinsollll,
1332227884806574111,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9e3cdc4f1c24c88e063281326c9d2e0,,,,,,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomic,839011261324197888,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomicfartt,,1013855610871226480,,U KNOW HIM?,2025-01-24T05:57:59.335Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T05:57:59.335000+00:00,false,0,atomicfartt,
1332227879366299800,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9e3cdc4f1c24c88e063281326c9d2e0,,,,,,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomic,839011261324197888,,230d25529235107f81c454505e232c76,true,982476098480787497,:3,0,atomicfartt,,1013855610871226480,,HAHAHAHA,2025-01-24T05:57:58.038Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,false,,a_1430915a3b776b35e867918f408f3294,,a_643e26a948548adb435b1078f273c426,,1301993378484850771,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,Cyrus,469684674873131009,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,128,cy.rus,,,,,,,,,,,,,,,,,,,,,,1013855610871226480,991099143705600000,1332227788505219112,0,,false,0,,,,,,,,,,,2025-01-24T05:57:58.038000+00:00,false,19,atomicfartt,
